event_id,competition,season,home_team,away_team,kickoff,market,selection,odds,quote_timestamp,timestamp_timezone,available_at,source,source_dataset,bookmaker,temporal_basis,license,match_confidence,strict_status
btb-kaggle|1005221|t-1h,France: Ligue 2,2015,Niort,Clermont,2015-09-25T18:00:00.000Z,1X2,HOME,2.65,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005223|t-1h,France: Ligue 2,2015,Valenciennes,Tours,2015-09-25T18:00:00.000Z,1X2,AWAY,3.17,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005223|t-1h,France: Ligue 2,2015,Valenciennes,Tours,2015-09-25T18:00:00.000Z,1X2,DRAW,3.04,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005223|t-1h,France: Ligue 2,2015,Valenciennes,Tours,2015-09-25T18:00:00.000Z,1X2,HOME,2.62,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005226|t-1h,France: National,2015,Avranches,Boulogne,2015-09-25T18:00:00.000Z,1X2,AWAY,2.17,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005226|t-1h,France: National,2015,Avranches,Boulogne,2015-09-25T18:00:00.000Z,1X2,DRAW,3.03,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005226|t-1h,France: National,2015,Avranches,Boulogne,2015-09-25T18:00:00.000Z,1X2,HOME,4.11,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005227|t-1h,France: National,2015,Beziers,Les Herbiers,2015-09-25T18:00:00.000Z,1X2,AWAY,2.5,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005227|t-1h,France: National,2015,Beziers,Les Herbiers,2015-09-25T18:00:00.000Z,1X2,DRAW,2.94,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
btb-kaggle|1005227|t-1h,France: National,2015,Beziers,Les Herbiers,2015-09-25T18:00:00.000Z,1X2,HOME,3.38,2015-09-25T17:00:00.000Z,UTC,2015-09-25T17:00:00.000Z,kaggle-austro-beat-the-bookie,DATASET_031_BASE,Pinnacle,EXACT_RELATIVE,GPL-3.0-upstream+kaggle-redistribution; dump-not-in-git,MATCH_EXACT,STRICT
