event_id,source,market,selection,price,quote_timestamp,precision,origin,capital_eligible
kaggle-ah-2607060,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-11T03:44:48.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607061,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-14T03:44:52.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607062,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-13T03:44:58.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607063,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-12T00:59:57.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607064,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-11T21:59:56.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607065,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-12T21:59:59.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607066,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-18T03:44:45.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607067,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-19T03:44:54.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607068,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-18T21:59:49.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607069,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-19T21:59:54.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607070,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-21T03:44:30.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607071,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-19T19:29:52.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607072,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-20T03:44:58.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607073,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-19T00:59:58.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607074,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-19T21:59:53.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607075,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-20T00:59:15.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607076,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-26T19:29:54.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607077,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-25T21:59:55.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607078,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-26T03:44:58.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607079,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-28T03:44:44.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607080,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-27T03:44:46.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607081,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-27T00:59:54.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607082,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-26T00:59:54.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607083,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-25T03:44:55.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607084,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-26T21:59:53.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
kaggle-ah-2607085,kaggle-realsingwong-ah,ASIAN_HANDICAP,HOME,,2025-01-28T01:29:59.000Z,EXACT_TIMESTAMP,SOURCE_TIMESTAMP,false
